previousids	refseqids
Tc00.1047053511189.30	XP_810552
Tc00.1047053509199.24	XP_804346
Tc00.1047053506357.90	XP_819267
Tc00.1047053511277.20	XP_821874
Tc00.1047053503395.50	XP_805117
Tc00.1047053506181.59	XP_813855
Tc00.1047053504017.50	XP_808052
Tc00.1047053511231.40	XP_807237
Tc00.1047053508303.4	XP_812602
Tc00.1047053511179.160	XP_813054
Tc00.1047053506593.19	XP_805732
Tc00.1047053506829.39	XP_812353
Tc00.1047053509753.60	XP_819126
Tc00.1047053509753.70	XP_819127
Tc00.1047053510329.80	XP_821185
Tc00.1047053504339.10	XP_805015
Tc00.1047053508677.90	XP_812755
Tc00.1047053504839.36	XP_808753
Tc00.1047053507259.4	XP_802804
Tc00.1047053503449.10	XP_804874
Tc00.1047053509875.210	XP_820080
Tc00.1047053506163.40	XP_810187
Tc00.1047053506867.20	XP_806211
Tc00.1047053506957.90	XP_815044
Tc00.1047053511727.129	XP_819305
Tc00.1047053508687.48	XP_810150
Tc00.1047053508687.66	XP_810151
Tc00.1047053504643.30	XP_805320
Tc00.1047053509161.10	XP_811659
Tc00.1047053504181.20	XP_804737
Tc00.1047053504181.30	XP_804738
Tc00.1047053509695.180	XP_817765
Tc00.1047053509695.184	XP_817770
Tc00.1047053507681.150	XP_818584
Tc00.1047053507681.160	XP_818586
Tc00.1047053511735.79	XP_805863
Tc00.1047053511737.9	XP_809799
Tc00.1047053503611.20	XP_804713
Tc00.1047053503611.40	XP_804715
Tc00.1047053506679.230	XP_820050
Tc00.1047053506679.250	XP_820052
Tc00.1047053511259.210	XP_816861
Tc00.1047053511259.9	XP_816863
Tc00.1047053504635.20	XP_804742
Tc00.1047053507079.10	XP_805656
Tc00.1047053507223.20	XP_804416
Tc00.1047053506147.184	XP_817609
Tc00.1047053510733.54	XP_809149
Tc00.1047053510187.30	XP_821468
Tc00.1047053510187.40	XP_821469
Tc00.1047053510187.50	XP_821470
Tc00.1047053510491.20	XP_808158
Tc00.1047053511633.40	XP_809563
Tc00.1047053509693.194	XP_816930
Tc00.1047053509967.7	XP_815297
Tc00.1047053509243.60	XP_806250
Tc00.1047053510063.20	XP_804761
Tc00.1047053510663.19	XP_808034
Tc00.1047053510663.30	XP_808028
Tc00.1047053509683.117	XP_815346
Tc00.1047053511051.39	XP_809700
Tc00.1047053511051.50	XP_809696
Tc00.1047053508503.100	XP_808418
Tc00.1047053510565.125	XP_816268
Tc00.1047053510945.30	XP_808309
Tc00.1047053504983.10	XP_802784
Tc00.1047053505057.20	XP_803983
Tc00.1047053511849.10	XP_804963
Tc00.1047053511849.20	XP_804964
Tc00.1047053504635.10	XP_804741
Tc00.1047053510773.120	XP_813468
Tc00.1047053507711.130	XP_819859
Tc00.1047053509641.10	XP_810154
Tc00.1047053507521.70	XP_815879
Tc00.1047053505809.20	XP_804069
Tc00.1047053508937.19	XP_806411
Tc00.1047053510879.110	XP_814673
Tc00.1047053510879.120	XP_814674
Tc00.1047053506213.20	XP_811923
Tc00.1047053511287.70	XP_814350
Tc00.1047053511865.54	XP_809106
Tc00.1047053511871.34	XP_814770
Tc00.1047053506565.4	XP_804685
Tc00.1047053506565.8	XP_804682
Tc00.1047053508145.10	XP_806469
Tc00.1047053508145.20	XP_806470
Tc00.1047053508145.30	XP_806471
Tc00.1047053508153.280	XP_822075
Tc00.1047053508153.290	XP_822076
Tc00.1047053510323.30	XP_810966
Tc00.1047053507485.20	XP_812378
Tc00.1047053507673.50	XP_806272
Tc00.1047053505075.10	XP_804796
Tc00.1047053507395.20	XP_805928
Tc00.1047053506779.44	XP_815551
Tc00.1047053511153.144	XP_813775
Tc00.1047053508277.330	XP_820291
Tc00.1047053508707.280	XP_820718
Tc00.1047053511541.30	XP_809310
Tc00.1047053507511.81	XP_808932
Tc00.1047053507511.91	XP_808931
Tc00.1047053508319.70	XP_808004
Tc00.1047053508405.40	XP_809620
Tc00.1047053510241.50	XP_812300
Tc00.1047053510243.40	XP_810516
Tc00.1047053510575.190	XP_815361
Tc00.1047053510579.80	XP_811072
Tc00.1047053507623.129	XP_813012
Tc00.1047053508821.50	XP_806840
Tc00.1047053507485.130	XP_812389
Tc00.1047053507485.150	XP_812391
Tc00.1047053506699.6	XP_805093
Tc00.1047053508153.364	XP_822124
Tc00.1047053507681.10	XP_818581
Tc00.1047053507769.10	XP_803710
Tc00.1047053504163.30	XP_809368
Tc00.1047053506401.120	XP_821266
Tc00.1047053506565.12	XP_804683
Tc00.1047053511837.129	XP_812004
Tc00.1047053507993.89	XP_820628
Tc00.1047053511277.539	XP_821863
Tc00.1047053415187.10	XP_802233
Tc00.1047053507583.10	XP_806746
Tc00.1047053509951.20	XP_804806
